"Name","Version","Vendor"
"Microsoft .NET Toolset 9.0.311 (x64)","36.10.51454","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.312 (x64)","36.11.56644","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.313 (x64)","36.11.62243","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.314 (x64)","36.11.34881","Microsoft Corporation"
"Microsoft ASP.NET Core 2.2.7 Shared Framework (x64)","2.2.7.0",
"Microsoft ASP.NET Core 2.2.8 Shared Framework (x64)","2.2.8.0",
"Microsoft ASP.NET Core 3.0.1 Targeting Pack (x64)","3.0.1.0",
"Microsoft ASP.NET Core 3.0.3 Shared Framework (x64)","3.0.3.0",
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","3.1.10.20520",
"Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)","3.1.32.22566",
"Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)","5.0.0.20526",
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)","5.0.17.22215",
"Microsoft ASP.NET Core 6.0.36 Shared Framework (x64)","6.0.36.24516",
"Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)","6.0.36.24516",
"Microsoft ASP.NET Core 7.0.20 Shared Framework (x64)","7.0.20.24269",
"Microsoft ASP.NET Core 7.0.20 Targeting Pack (x64)","7.0.20.24269",
"Microsoft ASP.NET Core 8.0.23 Shared Framework (x64)","8.0.23.25609","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.23 Targeting Pack (x64)","8.0.23.25609","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.24 Shared Framework (x64)","8.0.24.26072","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.24 Targeting Pack (x64)","8.0.24.26072","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.25 Shared Framework (x64)","8.0.25.26112","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.25 Targeting Pack (x64)","8.0.25.26112","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.26 Shared Framework (x64)","8.0.26.26169","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.26 Targeting Pack (x64)","8.0.26.26169","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.27 Shared Framework (x64)","8.0.27.26230","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.27 Targeting Pack (x64)","8.0.27.26230","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.12 Shared Framework (x64)","9.0.12.25609","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.12 Targeting Pack (x64)","9.0.12.25609","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.13 Shared Framework (x64)","9.0.13.26064","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.13 Targeting Pack (x64)","9.0.13.26064","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.14 Shared Framework (x64)","9.0.14.26119","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.14 Targeting Pack (x64)","9.0.14.26119","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.15 Shared Framework (x64)","9.0.15.26176","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.15 Targeting Pack (x64)","9.0.15.26176","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.16 Shared Framework (x64)","9.0.16.26230","Microsoft Corporation"
"Microsoft ASP.NET Core 9.0.16 Targeting Pack (x64)","9.0.16.26230","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft ASP.NET Core Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft ASP.NET Core Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft ASP.NET Core Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft ASP.NET Core Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft ASP.NET Core Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft Edge","148.0.3967.70","Microsoft Corporation"
"Microsoft Visual Basic/C++ Runtime (x86)","1.1.0",
"Microsoft Visual C++ 2005 Redistributable","8.0.61187",
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186",
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523","9.0.30729.7523",
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523","9.0.30729.7523",
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation"
